id,ageInDays,ageInDaysForYear,ageInYears,amateurClubName,amateurLeague,birthDate,birthPlace,countryCode,csPlayerId,draftDate,draftMasterId,draftYear,draftedByTeamId,firstName,height,lastName,notes,overallPickNumber,pickInRound,playerId,playerName,position,removedOutright,removedOutrightWhy,roundNumber,shootsCatches,supplementalDraft,teamPickHistory,triCode,weight
1494,6879.0,304.0,18.0,Kitchener,OHL,1986-09-29,"East Greenbush, NY  USA",USA,13720.0,2005-07-30,52,2005,6,Matt,74.0,Lashoff,,22,22,8471696.0,Matt Lashoff,D,N,,1,L,N,BOS,BOS,204.0
1386,6720.0,145.0,18.0,Sodertalje Jr.,SWEDEN-JR.,1987-03-07,"Sodertalje, Sweden",SWE,1573.0,2005-07-30,52,2005,1,Niclas,72.0,Bergfors,,23,23,8471697.0,Niclas Bergfors,F,N,,1,R,N,NJD,NJD,200.0
1387,6794.0,219.0,18.0,Warroad,USHSW,1986-12-23,"Everett, WA  USA",USA,18630.0,2005-07-30,52,2005,19,T.J.,71.0,Oshie,,24,24,8471698.0,T.J. Oshie,C,N,,1,R,N,STL,STL,195.0
1428,6621.0,46.0,18.0,St. Michael's Jr. A,OPJRA,1987-06-14,"Toronto, ON  CAN",CAN,4478.0,2005-07-30,52,2005,22,Andrew,70.0,Cogliano,,25,25,8471699.0,Andrew Cogliano,C,N,,1,L,N,EDM,EDM,188.0
1429,6539.0,329.0,17.0,Sarnia,OHL,1987-09-04,"Toronto, ON  CAN",CAN,19174.0,2005-07-30,52,2005,20,Matt,76.0,Pelech,,26,26,8471700.0,Matt Pelech,D,N,,1,R,N,CGY,CGY,220.0
1605,6606.0,31.0,18.0,Sioux Falls,USHL,1987-06-29,"Edina, MN  USA",USA,7631.0,2005-07-30,52,2005,15,Joe,80.0,Finley,,27,27,8471701.0,Joe Finley,D,N,,1,L,N,COL-WSH,WSH,247.0
1430,6811.0,236.0,18.0,Virginia,USHSW,1986-12-06,"Virginia, MN  USA",USA,18131.0,2005-07-30,52,2005,25,Matt,72.0,Niskanen,,28,28,8471702.0,Matt Niskanen,D,N,,1,R,N,DAL,DAL,200.0
1606,6693.0,118.0,18.0,Windsor,OHL,1987-04-03,"Newmarket, ON  CAN",CAN,6472.0,2005-07-30,52,2005,4,Steve,71.0,Downie,,29,29,8471703.0,Steve Downie,RW,N,,1,R,N,FLA-PHI,PHI,191.0
1607,6757.0,182.0,18.0,Presov,SVK-2,1987-01-29,"Presov, Slovakia",SVK,16879.0,2005-07-30,52,2005,14,Vladimir,80.0,Mihalik,,30,30,8471704.0,Vladimir Mihalik,D,N,,1,L,N,TBL,TBL,246.0
1608,6613.0,38.0,18.0,Portland,WHL,1987-06-22,"Regina, SK  CAN",CAN,16883.0,2005-07-30,52,2005,24,Brendan,75.0,Mikkelson,,31,1,8471705.0,Brendan Mikkelson,D,N,,2,L,N,TBL-ANA,ANA,205.0
1609,6680.0,105.0,18.0,Brandon,WHL,1987-04-16,"Milwaukee, WI  USA",USA,19703.0,2005-07-30,52,2005,13,Tyler,75.0,Plante,,32,2,8471706.0,Tyler Plante,G,N,,2,L,N,FLA,FLA,191.0
1610,6540.0,330.0,17.0,Plymouth,OHL,1987-09-03,"Whitby, ON  CAN",CAN,17903.0,2005-07-30,52,2005,25,James,74.0,Neal,,33,3,8471707.0,James Neal,LW,N,,2,L,N,DAL,DAL,208.0
1611,6683.0,108.0,18.0,USA U-18,USA,1987-04-13,"Bloomington, MN  USA",USA,23567.0,2005-07-30,52,2005,21,Ryan,75.0,Stoa,,34,4,8471708.0,Ryan Stoa,C,N,,2,L,N,COL,COL,200.0
1438,6697.0,122.0,18.0,Quebec,QMJHL,1987-03-30,"Montreal, QC  CAN",CAN,25393.0,2005-07-30,52,2005,28,Marc-Edouard,73.0,Vlasic,,35,5,8471709.0,Marc-Edouard Vlasic,D,N,,2,L,N,CGY-SJS,SJS,200.0
1612,6669.0,94.0,18.0,Shattuck-St. Mary's,USHSW,1987-04-27,"Thunder Bay, ON  CAN",CAN,4149.0,2005-07-30,52,2005,22,Taylor,72.0,Chorney,,36,6,8471710.0,Taylor Chorney,D,N,,2,L,N,EDM,EDM,193.0
1613,6750.0,175.0,18.0,Seattle,WHL,1987-02-05,"Salmon Arm, BC  CAN",CAN,11536.0,2005-07-30,52,2005,19,Scott,75.0,Jackson,,37,7,8471711.0,Scott Jackson,D,N,,2,L,N,STL,STL,219.0
1614,6653.0,78.0,18.0,USA U-18,USA,1987-05-13,"Edina, MN  USA",USA,8134.0,2005-07-30,52,2005,1,Jeff,72.0,Frazee,,38,8,8471712.0,Jeff Frazee,G,N,,2,L,N,NJD,NJD,195.0
1615,6606.0,31.0,18.0,Vitkovice Jr.,CZE JR.,1987-06-29,"Ostrava, Czech Republic",CZE,12149.0,2005-07-30,52,2005,6,Petr,73.0,Kalus,,39,9,8471713.0,Petr Kalus,C,N,,2,L,N,BOS,BOS,201.0
1616,6567.0,357.0,17.0,Portland,WHL,1987-08-07,"St. Cloud, MN  USA",USA,21653.0,2005-07-30,52,2005,3,Michael,75.0,Sauer,,40,10,8471714.0,Michael Sauer,D,N,,2,R,N,TOR-NYR,NYR,213.0
1617,6543.0,333.0,17.0,Kladno Jr.,CZE JR.,1987-08-31,"Kladno, Czech Republic",CZE,19072.0,2005-07-30,52,2005,11,Ondrej,75.0,Pavelec,,41,11,8471715.0,Ondrej Pavelec,G,N,,2,L,N,PHI-NYR-ATL,ATL,220.0
1439,6730.0,155.0,18.0,Cedar Rapids,USHL,1987-02-25,"Muskegon, MI  USA",USA,18.0,2005-07-30,52,2005,17,Justin,73.0,Abdelkader,,42,12,8471716.0,Justin Abdelkader,LW,N,,2,L,N,DET,DET,212.0
1618,6802.0,227.0,18.0,Erie,OHL,1986-12-15,"Toronto, ON  CAN",CAN,2017.0,2005-07-30,52,2005,16,Mike,76.0,Blunden,,43,13,8471663.0,Mike Blunden,RW,N,,2,R,N,NSH-CHI,CHI,211.0
1619,7155.0,215.0,19.0,U. of Denver,WCHA,1985-12-27,"Quebec City, QC  CAN",CAN,23361.0,2005-07-30,52,2005,21,Paul,72.0,Stastny,,44,14,8471669.0,Paul Stastny,C,N,,2,L,N,PHX-COL,COL,205.0
1620,6642.0,67.0,18.0,Drummondville,QMJHL,1987-05-24,"Ste-Catherine, QC  CAN",CAN,13732.0,2005-07-30,52,2005,8,Guillaume,74.0,Latendresse,,45,15,8471670.0,Guillaume Latendresse,RW,N,,2,L,N,NYR-MTL,MTL,230.0
1621,6753.0,178.0,18.0,Calgary,WHL,1987-02-02,"Edmonton, AB  CAN",CAN,12850.0,2005-07-30,52,2005,2,Dustin,73.0,Kohn,,46,16,8471671.0,Dustin Kohn,D,N,,2,L,N,NYI,NYI,200.0
1622,6878.0,303.0,18.0,Ohio State U.,CCHA,1986-09-30,"Parma, OH  USA",USA,8229.0,2005-07-30,52,2005,21,Tom,71.0,Fritsche,,47,17,8471672.0,Tom Fritsche,LW,N,,2,L,N,WSH-COL,COL,183.0
1623,6574.0,364.0,17.0,Koln,GERMANY,1987-07-31,"Dusseldorf, Germany",DEU,32685.0,2005-07-30,52,2005,7,Philip,74.0,Gogulla,,48,18,8471673.0,Philip Gogulla,F,N,,2,L,N,BUF,BUF,182.0
1440,6700.0,125.0,18.0,Lewiston,QMJHL,1987-03-27,"Sydney, NS  CAN",CAN,5916.0,2005-07-30,52,2005,11,Chad,75.0,Denny,,49,19,8471674.0,Chad Denny,D,N,,2,L,N,SJS-ATL,ATL,210.0
1624,7507.0,202.0,20.0,Rimouski,QMJHL,1985-01-09,"Quebec City, QC  CAN",CAN,21188.0,2005-07-30,52,2005,26,Dany,74.0,Roussin,,50,20,8470812.0,Dany Roussin,LW,N,,2,L,N,LAK,LAK,190.0
1625,7256.0,316.0,19.0,Camrose,AJHL,1985-09-17,"Cochrane, AB  CAN",CAN,20373.0,2005-07-30,52,2005,23,Mason,72.0,Raymond,,51,21,8471664.0,Mason Raymond,LW,N,,2,L,N,VAN,VAN,185.0
1626,6765.0,190.0,18.0,Seattle,WHL,1987-01-21,"Saskatoon, SK  CAN",CAN,6768.0,2005-07-30,52,2005,21,Chris,73.0,Durand,,52,22,8471665.0,Chris Durand,C,N,,2,R,N,OTT-WSH-COL,COL,186.0
1627,7005.0,65.0,19.0,South Surrey,BCHL,1986-05-26,"Revelstoke, BC  CAN",CAN,12999.0,2005-07-30,52,2005,11,Andrew,71.0,Kozek,,53,23,8471666.0,Andrew Kozek,F,N,,2,L,N,ATL,ATL,205.0
1628,6772.0,197.0,18.0,Boston College,H-EAST,1987-01-14,"Calgary, AB  CAN",CAN,1665.0,2005-07-30,52,2005,16,Dan,70.0,Bertram,,54,24,8471667.0,Dan Bertram,RW,N,,2,R,N,CHI,CHI,184.0
1629,6866.0,291.0,18.0,Sudbury,OHL,1986-10-12,"Charlottetown, PE  CAN",CAN,16585.0,2005-07-30,52,2005,29,Adam,76.0,McQuaid,,55,25,8471717.0,Adam McQuaid,D,N,,2,R,N,CBJ,CBJ,197.0
1441,6704.0,129.0,18.0,Lewiston,QMJHL,1987-03-23,"Rouyn-Noranda, QC  CAN",CAN,4387.0,2005-07-30,52,2005,3,Marc-Andre,72.0,Cliche,,56,26,8471718.0,Marc-Andre Cliche,RW,N,,2,R,N,MTL-NYR,NYR,200.0
1630,6850.0,275.0,18.0,Kamloops,WHL,1986-10-28,"Edmonton, AB  CAN",CAN,12224.0,2005-07-30,52,2005,30,Matt,76.0,Kassian,,57,27,8471719.0,Matt Kassian,LW,N,,2,L,N,MIN,MIN,232.0
1631,6870.0,295.0,18.0,U. of Minnesota,WCHA,1986-10-08,"Minneapolis, MN  USA",USA,9796.0,2005-07-30,52,2005,12,Nathan,71.0,Hagemo,,58,28,8471720.0,Nathan Hagemo,D,N,,2,R,N,CAR,CAR,192.0
1632,6688.0,113.0,18.0,Drummondville,QMJHL,1987-04-08,"St-Louisme Du Lac, QC  CAN",CAN,19196.0,2005-07-30,52,2005,27,Pier-Olivier,73.0,Pelletier,,59,29,8471721.0,Pier-Olivier Pelletier,G,N,,2,L,N,ANA-PHI-PHX,PHX,175.0
1633,6541.0,331.0,17.0,Camrose,AJHL,1987-09-02,"Calgary, AB  CAN",CAN,7371.0,2005-07-30,52,2005,26,T.J.,73.0,Fast,David Steckel Compensatory Pick (Unsigned 1st Round Draft Choice),60,30,8471722.0,T.J. Fast,D,N,,2,L,N,LAK,LAK,190.0
1495,6738.0,163.0,18.0,Shattuck-St. Mary's,USHSW,1987-02-17,"Hastings, MN  USA",USA,8746.0,2005-07-30,52,2005,5,Michael,71.0,Gergen,,61,31,8471723.0,Michael Gergen,F,N,,2,L,N,PIT,PIT,185.0
1496,6672.0,97.0,18.0,Val d'Or,QMJHL,1987-04-24,"Montreal, QC  CAN",CAN,14267.0,2005-07-30,52,2005,5,Kris,72.0,Letang,,62,1,8471724.0,Kris Letang,D,N,,3,R,N,PIT,PIT,201.0
1634,6631.0,56.0,18.0,USA U-18,USA,1987-06-04,"Ottawa, ON  CAN",CAN,788.0,2005-07-30,52,2005,24,Jason,73.0,Bailey,,63,2,8471725.0,Jason Bailey,RW,N,,3,R,N,ANA,ANA,209.0
1635,6984.0,44.0,19.0,Saskatoon,WHL,1986-06-16,"Winnipeg, MB  CAN",CAN,984.0,2005-07-30,52,2005,12,Joe,75.0,Barnes,,64,3,8471726.0,Joe Barnes,C,N,,3,L,N,CAR,CAR,212.0
1636,6701.0,126.0,18.0,Kelowna,WHL,1987-03-26,"Meadow Lake, SK  CAN",CAN,25927.0,2005-07-30,52,2005,30,Kristofer,73.0,Westblom,,65,4,8471727.0,Kristofer Westblom,G,N,,3,L,N,MIN,MIN,155.0
1497,6738.0,163.0,18.0,Calgary,WHL,1987-02-17,"Russell, MB  CAN",CAN,6746.0,2005-07-30,52,2005,3,Brodie,74.0,Dupont,,66,5,8471728.0,Brodie Dupont,C,N,,3,L,N,MTL-NYR,NYR,212.0
1637,6664.0,89.0,18.0,Medicine Hat,WHL,1987-05-02,"Caroline, AB  CAN",CAN,21351.0,2005-07-30,52,2005,29,Kris,70.0,Russell,,67,6,8471729.0,Kris Russell,D,N,,3,L,N,CBJ,CBJ,174.0
1638,6814.0,239.0,18.0,Belleville,OHL,1986-12-03,"Kitchener, ON  CAN",CAN,2832.0,2005-07-30,52,2005,16,Evan,74.0,Brophey,,68,7,8471730.0,Evan Brophey,F,N,,3,L,N,CHI,CHI,199.0
1500,6726.0,151.0,18.0,Medicine Hat,WHL,1987-03-01,"Winnipeg, MB  CAN",CAN,860.0,2005-07-30,52,2005,20,Gord,77.0,Baldwin,,69,8,8471731.0,Gord Baldwin,D,N,,3,L,N,ATL-CAR-CGY,CGY,199.0
1501,6784.0,209.0,18.0,Yaroslavl 2,RUSSIA-3,1987-01-02,"Kiev, Russia",RUS,27638.0,2005-07-30,52,2005,9,Vitaly,75.0,Anikeyenko,,70,9,8471732.0,Vitaly Anikeyenko,D,N,,3,R,N,OTT,OTT,198.0
1502,6671.0,96.0,18.0,Sarnia,OHL,1987-04-25,"Toronto, ON  CAN",CAN,4432.0,2005-07-30,52,2005,25,Rich,70.0,Clune,,71,10,8471733.0,Rich Clune,LW,N,,3,L,N,VAN-DAL,DAL,199.0
1503,7130.0,190.0,19.0,Avon Old Farms H.S.,USHSE,1986-01-21,"Milford, CT  USA",USA,20173.0,2005-07-30,52,2005,26,Jonathan,73.0,Quick,,72,11,8471734.0,Jonathan Quick,G,N,,3,L,N,LAK,LAK,212.0
1498,6814.0,239.0,18.0,Kingston,OHL,1986-12-03,"Prague, Czech Republic",CZE,22952.0,2005-07-30,52,2005,14,Radek,74.0,Smolenak,,73,12,8471736.0,Radek Smolenak,LW,N,,3,L,N,SJS-TBL,TBL,207.0
1504,6774.0,199.0,18.0,Peterborough,OHL,1987-01-12,"Bonavista, NL  CAN",CAN,21432.0,2005-07-30,52,2005,20,Dan,71.0,Ryder,,74,13,8471737.0,Dan Ryder,C,N,,3,R,N,BUF-CGY,CGY,193.0
1505,6548.0,338.0,17.0,Ilves Jr.,Finland Jr.,1987-08-26,"Tampere, Finland",FIN,39472.0,2005-07-30,52,2005,25,Perttu,72.0,Lindgren,,75,14,8471738.0,Perttu Lindgren,C,N,,3,L,N,WSH-DAL,DAL,188.0
1506,6575.0,0.0,18.0,St. George's,USHSE,1987-07-30,"Almonte, ON  CAN",CAN,9731.0,2005-07-30,52,2005,2,Shea,72.0,Guthrie,,76,15,8471739.0,Shea Guthrie,F,N,,3,R,N,NYI,NYI,187.0
1507,6871.0,296.0,18.0,Saskatoon,WHL,1986-10-07,"Winnipeg, MB  CAN",CAN,7735.0,2005-07-30,52,2005,3,Dalyn,75.0,Flatt,,77,16,8471740.0,Dalyn Flatt,D,N,,3,L,N,NYR,NYR,215.0
1508,6547.0,337.0,17.0,IFK Jr.,Finland Jr.,1987-08-27,"Tuusula, Finland",FIN,38671.0,2005-07-30,52,2005,18,Teemu,73.0,Laakso,,78,17,8471741.0,Teemu Laakso,D,N,,3,R,N,PHX-CAR-NSH,NSH,209.0
1499,6566.0,356.0,17.0,Vancouver,WHL,1987-08-08,"Sicamous, BC  CAN",CAN,8091.0,2005-07-30,52,2005,18,Cody,77.0,Franson,,79,18,8471742.0,Cody Franson,D,N,,3,R,N,NSH,NSH,213.0
1509,6867.0,292.0,18.0,Djurgarden Jr.,SWEDEN-JR.,1986-10-11,"Stockholm, Sweden",SWE,39683.0,2005-07-30,52,2005,17,Christofer,75.0,Lofberg,,80,19,8471744.0,Christofer Lofberg,C,N,,3,R,N,DET,DET,189.0
1510,7352.0,47.0,20.0,London,OHL,1985-06-13,"Millgrove, ON  CAN",CAN,23957.0,2005-07-30,52,2005,22,Danny,71.0,Syvret,,81,20,8470996.0,Danny Syvret,D,N,,3,L,N,PHI-EDM,EDM,203.0
1511,6760.0,185.0,18.0,Brampton,OHL,1987-01-26,"North York, ON  CAN",CAN,18588.0,2005-07-30,52,2005,10,Phil,76.0,Oreskovic,,82,21,8471746.0,Phil Oreskovic,D,N,,3,R,N,TOR,TOR,217.0
1512,6695.0,120.0,18.0,Blues Jr.,Finland Jr.,1987-04-01,"Espoo, Finland",FIN,39139.0,2005-07-30,52,2005,6,Mikko,75.0,Lehtonen,,83,22,8471747.0,Mikko Lehtonen,RW,N,,3,R,N,BOS,BOS,196.0
1513,6879.0,304.0,18.0,Kitchener,OHL,1986-09-29,"Ottawa, ON  CAN",CAN,8115.0,2005-07-30,52,2005,1,Mark,75.0,Fraser,,84,23,8471748.0,Mark Fraser,D,N,,3,L,N,NJD,NJD,220.0
1383,6826.0,251.0,18.0,Texas,NAHL,1986-11-21,"Denver, CO  USA",USA,1849.0,2005-07-30,52,2005,19,Ben,79.0,Bishop,,85,24,8471750.0,Ben Bishop,G,N,,3,L,N,STL,STL,215.0
1384,6687.0,112.0,18.0,Breck School,USHSW,1987-04-09,"Minneapolis, MN  USA",USA,5759.0,2005-07-30,52,2005,22,Robby,74.0,Dee,,86,25,8471751.0,Robby Dee,F,N,,3,L,N,EDM,EDM,185.0
1514,6716.0,141.0,18.0,P.E.I.,QMJHL,1987-03-11,"Montreal, QC  CAN",CAN,9318.0,2005-07-30,52,2005,7,Marc-Andre,74.0,Gragnani,,87,26,8471752.0,Marc-Andre Gragnani,D,N,,3,L,N,CGY-BUF,BUF,201.0
1515,7172.0,232.0,19.0,U. of Michigan,CCHA,1985-12-10,"Lansing, MI  USA",USA,10566.0,2005-07-30,52,2005,21,T.J.,70.0,Hensick,,88,27,8471753.0,T.J. Hensick,C,N,,3,R,N,COL,COL,190.0
1385,6750.0,175.0,18.0,Sault Ste. Marie,OHL,1987-02-05,"Toronto, ON  CAN",CAN,13823.0,2005-07-30,52,2005,14,Chris,76.0,Lawrence,,89,28,8471754.0,Chris Lawrence,C,N,,3,R,N,DAL-PHI-TBL,TBL,211.0
1516,6729.0,154.0,18.0,Plymouth,OHL,1987-02-26,"Syracuse, NY  USA",USA,4554.0,2005-07-30,52,2005,13,Dan,73.0,Collins,,90,29,8471755.0,Dan Collins,RW,N,,3,R,N,FLA,FLA,185.0
1535,6765.0,190.0,18.0,Moncton,QMJHL,1987-01-21,"Ogre, Latvia",LVA,1079.0,2005-07-30,52,2005,4,Oskars,74.0,Bartulis,,91,30,8471756.0,Oskars Bartulis,D,N,,3,L,N,TBL-PHI,PHI,184.0
1536,6742.0,167.0,18.0,Kosice Jr.,SVK JR.,1987-02-13,"Liptovsky Mikulas, Slovakia",SVK,28229.0,2005-07-30,52,2005,14,Marek,75.0,Bartanus,,92,1,8471757.0,Marek Bartanus,RW,N,,4,R,N,TBL,TBL,194.0
1537,6876.0,301.0,18.0,Lewiston,QMJHL,1986-10-02,"Chibougamau, QC  CAN",CAN,14075.0,2005-07-30,52,2005,13,Olivier,77.0,Legault,,93,2,8471758.0,Olivier Legault,LW,N,,4,L,N,FLA,FLA,238.0
1538,6747.0,172.0,18.0,Sparta Jr.,CZE JR.,1987-02-08,"Ústí nad Labem, Czech Republic",CZE,50790.0,2005-07-30,52,2005,12,Jakub,72.0,Vojta,,94,3,8471759.0,Jakub Vojta,D,N,,4,R,N,DAL-CAR,CAR,194.0
1539,6779.0,204.0,18.0,Mississauga,OHL,1987-01-07,"Owen Sound, ON  CAN",CAN,1098.0,2005-07-30,52,2005,9,Cody,73.0,Bass,,95,4,8471760.0,Cody Bass,C,N,,4,R,N,COL-MIN-OTT,OTT,204.0
1388,6851.0,276.0,18.0,Sioux City,USHL,1986-10-27,"St. Louis, MO  USA",USA,3237.0,2005-07-30,52,2005,7,Chris,73.0,Butler,,96,5,8471761.0,Chris Butler,D,N,,4,L,N,CGY-BUF,BUF,200.0
1540,6712.0,137.0,18.0,Moorhead,USHSW,1987-03-15,"Moorhead, MN  USA",USA,25040.0,2005-07-30,52,2005,22,Chris,74.0,VandeVelde,,97,6,8471762.0,Chris VandeVelde,C,N,,4,L,N,EDM,EDM,190.0
1541,6741.0,166.0,18.0,Chelyabinsk,RUSSIA-2,1987-02-14,"Chelyabinsk, Russia",RUS,52217.0,2005-07-30,52,2005,9,Ilya,72.0,Zubov,,98,7,8471763.0,Ilya Zubov,C,N,,4,L,N,STL-OTT,OTT,211.0
1542,6789.0,214.0,18.0,Kitchener,OHL,1986-12-28,"Sterling Heights, MI  USA",USA,5638.0,2005-07-30,52,2005,1,Patrick,74.0,Davis,,99,8,8471764.0,Patrick Davis,LW,N,,4,R,N,NJD,NJD,195.0
1543,7108.0,168.0,19.0,Bowling Green,CCHA,1986-02-12,"Vancouver, BC  CAN",CAN,22496.0,2005-07-30,52,2005,6,Jonathan,73.0,Sigalet,,100,9,8471765.0,Jonathan Sigalet,D,N,,4,L,N,BOS,BOS,185.0
1544,7018.0,78.0,19.0,Lincoln,USHL,1986-05-13,"Charlotte, NC  USA",USA,2162.0,2005-07-30,52,2005,29,Jared,74.0,Boll,,101,10,8471766.0,Jared Boll,RW,N,,4,R,N,TOR-CAR-CBJ,CBJ,214.0
1389,6881.0,306.0,18.0,Moose Jaw,WHL,1986-09-27,"Central Butte, SK  CAN",CAN,11960.0,2005-07-30,52,2005,14,Blair,74.0,Jones,,102,11,8471767.0,Blair Jones,C,N,,4,R,N,PHI-TBL,TBL,216.0
1545,6713.0,138.0,18.0,Leksand Jr.,SWEDEN-JR.,1987-03-14,"Borlange, Sweden",SWE,45318.0,2005-07-30,52,2005,17,Mattias,72.0,Ritola,,103,12,8471668.0,Mattias Ritola,F,N,,4,L,N,DET,DET,192.0
1547,7071.0,131.0,19.0,N.H. Jr. Monarchs,EJHL,1986-03-21,"Portland, ME  USA",USA,6640.0,2005-07-30,52,2005,13,Matt,74.0,Duffy,,104,13,8471749.0,Matt Duffy,D,N,,4,R,N,NSH-FLA,FLA,180.0
1546,6899.0,324.0,18.0,Cushing Academy,USHSE,1986-09-09,"Boston, MA  USA",USA,26608.0,2005-07-30,52,2005,27,Keith,73.0,Yandle,,105,14,8471735.0,Keith Yandle,D,N,,4,L,N,PHX,PHX,195.0
